order_id,order_date,delivery_date,customer_id,product_name,category,region,city,quantity,unit_price,discount,revenue,profit,payment_method,order_status,delivery_days
ORD-100001,2022-06-28,2022-07-06,CUST-1488,Sunscreen SPF50,Beauty,North,Lucknow,2,809.19,0.26,1197.6,523.12,UPI,Delivered,8
ORD-100002,2023-07-24,2023-07-26,CUST-7924,Saree,Clothing,North,Agra,5,1233.54,0.15,5242.55,1614.12,Debit Card,Delivered,2
ORD-100003,2023-06-26,2023-06-28,CUST-9785,Blender,Home & Kitchen,South,Hyderabad,4,1507.29,0.03,5848.29,-510.41,UPI,Returned,2
ORD-100004,2022-04-04,2022-04-09,CUST-2307,Atomic Habits,Books,East,Ranchi,3,895.91,0.2,2150.18,844.44,Credit Card,Delivered,5
ORD-100005,2023-07-01,2023-07-04,CUST-3803,Realme Watch,Electronics,East,Guwahati,3,57574.92,0.06,162361.27,16407.09,COD,Cancelled,3
ORD-100006,2022-04-25,2022-04-30,CUST-6168,Lipstick,Beauty,South,Kochi,5,1199.42,0.08,5517.33,2060.01,Net Banking,Delivered,5
ORD-100007,2024-07-28,2024-08-01,CUST-3287,Air Fryer,Home & Kitchen,South,Coimbatore,3,11416.51,0.07,31852.06,8023.98,Credit Card,Delivered,4
ORD-100008,2022-10-11,2022-10-21,CUST-2489,Kajal,Beauty,East,Ranchi,5,1341.46,0.14,5768.28,-613.42,UPI,Returned,10
ORD-100009,2024-12-19,2024-12-25,CUST-1188,MacBook Air,Electronics,South,Kochi,4,54079.4,0.13,188196.31,24806.88,UPI,Cancelled,6
ORD-100010,2023-06-24,2023-07-04,CUST-9317,Kajal,Beauty,East,Patna,4,422.5,0.06,1588.6,501.34,UPI,Delivered,10
ORD-100011,2024-12-22,2024-12-24,CUST-6310,Foundation,Beauty,South,Bangalore,2,1183.35,0.19,1917.03,872.54,Net Banking,Cancelled,2
ORD-100012,2022-06-25,2022-07-04,CUST-9727,Samsung Galaxy S23,Electronics,East,Patna,2,22310.26,0.31,30788.16,3985.64,Credit Card,Delivered,9
ORD-100013,2023-02-16,2023-02-22,CUST-7118,Formal Shirt,Clothing,South,Hyderabad,5,2779.07,0.15,11811.05,-973.18,Net Banking,Returned,6
ORD-100014,2023-03-28,2023-03-30,CUST-1964,Gym Gloves,Sports & Fitness,North,Jaipur,3,2401.03,0.01,7131.06,1642.94,Credit Card,Delivered,2
ORD-100015,2022-09-28,2022-10-07,CUST-8749,iPhone 14,Electronics,East,Kolkata,3,46758.89,0.23,108013.04,10183.83,Net Banking,Delivered,9
ORD-100016,2022-07-21,2022-07-23,CUST-6559,Women's Kurta,Clothing,North,Chandigarh,4,1964.2,0.16,6599.71,-687.17,UPI,Returned,2
ORD-100017,2022-06-04,2022-06-13,CUST-2604,Saree,Clothing,South,Coimbatore,4,2407.48,0.06,9052.12,2804.06,UPI,Cancelled,9
ORD-100018,2023-03-14,2023-03-22,CUST-3697,Kajal,Beauty,North,Delhi,2,2785.46,0.06,5236.66,2107.31,Net Banking,Delivered,8
ORD-100019,2023-01-24,2023-01-30,CUST-1958,Realme Watch,Electronics,East,Guwahati,5,26386.18,0.23,101586.79,10906.38,COD,Delivered,6
ORD-100020,2024-12-23,2024-12-27,CUST-9320,Kajal,Beauty,North,Lucknow,5,264.78,0.17,1098.84,527.98,UPI,Delivered,4
ORD-100021,2022-06-17,2022-06-25,CUST-9565,Women's Kurta,Clothing,North,Jaipur,5,2196.75,0.09,9995.21,3280.75,Debit Card,Cancelled,8
ORD-100022,2023-10-10,2023-10-13,CUST-8508,Coffee Maker,Home & Kitchen,East,Bhubaneswar,2,3598.87,0.24,5470.28,1255.97,COD,Delivered,3
ORD-100023,2022-05-21,2022-05-26,CUST-5669,Dumbbells Set,Sports & Fitness,North,Agra,3,2287.91,0.05,6520.54,1368.67,Credit Card,Delivered,5
ORD-100024,2023-09-06,2023-09-09,CUST-5333,Deep Work,Books,East,Ranchi,5,984.47,0.0,4922.35,2021.79,UPI,Delivered,3
ORD-100025,2023-06-25,2023-07-05,CUST-5114,HP Printer,Electronics,South,Hyderabad,2,26075.31,0.25,39112.97,-1100.32,UPI,Returned,10
ORD-100026,2024-06-23,2024-07-03,CUST-1158,Realme Watch,Electronics,East,Kolkata,2,1314.57,0.22,2050.73,-59.41,UPI,Returned,10
ORD-100027,2024-01-17,2024-01-19,CUST-4441,MacBook Air,Electronics,North,Lucknow,2,52842.35,0.15,89831.99,7726.25,Credit Card,Delivered,2
